Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Have you completed this demographics page before?,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""gym,"" clarify which specific activity you did at the gym.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?
,,04/26/2017 12:19:23 AM,04/26/2017 12:19:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,04/25/2017 04:51:58 AM,04/25/2017 04:56:53 AM,,,,,,,NSW,Australia,1985,Bachelor degree,Male,Running,Running,I am more than slightly hindered.,Swimming ,Swimming laps,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Beginner,{{Q9}} requires somewhat more skill than {{Q6}}.,{{Q9}} is somewhat more predictable than {{Q6}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,Both admit roughly the same amount of creativity.,{{Q9}} is somewhat more complex than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q9}} turns off my mental chatter much more than {{Q6}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q9}} brings me into the present much more than {{Q6}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q9}} is much more rewarding than {{Q6}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,04/24/2017 10:38:01 PM,04/24/2017 10:48:45 PM,,,,,,Yes,"Chicago, IL",USA,1996,Some college but no degree,Male,Tennis,Singles and Doubles at a moderate intensity,I do not feel hindered or do not have a physical disability.,Kayaking,Long-distance river and open water >3 hrs at a time,I do not feel hindered or do not have a physical disability.,Group,Solo,Beginner,Competent amateur,{{Q6}} requires somewhat more skill than {{Q9}}.,{{Q9}} is somewhat more predictable than {{Q6}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q6}} is somewhat more complex than {{Q9}}.,Both have equally clear goals.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q9}} turns off my mental chatter much more than {{Q6}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q6}} involves somewhat more of my body than {{Q9}}.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",Both are roughly equally rewarding.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,04/23/2017 07:07:27 PM,04/23/2017 07:11:32 PM,,,,,,Yes,"fort myers, Fl",USA,1992,Associate degree,Male,weight lifting ,lifting weights and getting a pump ,I am more than slightly hindered.,ice skating ,skating around on ice ,I am more than slightly hindered.,Solo,Group,Expert or professional,Beginner,{{Q9}} requires somewhat more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,{{Q6}} is somewhat more complex than {{Q9}}.,Both have equally clear goals.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,{{Q6}} permits somewhat more control than {{Q9}}.,{{Q9}} brings me into the present somewhat more than {{Q6}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,04/23/2017 05:50:40 PM,04/23/2017 05:54:25 PM,,,,,,,"State College, PA",USA,1989,Graduate degree,Female,Rock climbing,"Indoor and outdoor, bouldering, top rope, and sport climbing",I do not feel hindered or do not have a physical disability.,Cycling,"Indoor spin class, road bikes",I do not feel hindered or do not have a physical disability.,Group,Solo,Expert or professional,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter much more than {{Q6}}.,{{ Q6 }} involves a lot more waiting than {{ Q9}}.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q9}} permits much more control than {{Q6}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",Both are roughly equally rewarding.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,04/21/2017 02:12:00 PM,04/21/2017 02:15:52 PM,,,,,,,MD,USA,1977,Graduate degree,Female,swimming,,,dancing,,,Solo,Solo,Expert or professional,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,04/21/2017 02:06:02 PM,04/21/2017 02:11:29 PM,,,,,,,MD,USA,1977,Graduate degree,Female,awimming,,,dancing,,,,,,,,,,,,,,,,,,,,,,,,,,
,,04/20/2017 08:42:04 PM,04/20/2017 08:50:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,04/18/2017 06:12:06 PM,04/18/2017 06:16:43 PM,,,,,,,"Tulsa, OK",USA,1979,Graduate degree,Male,cycling,road cycling,,running,daily 5k,,Group,Solo,Expert or professional,Competent amateur,Both require roughly equal skill.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,Both admit roughly the same amount of creativity.,{{Q6}} is much more complex than {{Q9}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q9}} brings me into the present somewhat more than {{Q6}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,04/12/2017 06:07:34 PM,04/12/2017 06:11:54 PM,,,,,,,"Montreal, Quebec",Canada,1994,Bachelor degree,Female,swimming,swimming laps (crawl or breaststroke or eggbeater),,aerobic classes,"high intensity interval training, Insanity classes",,Solo,Group,Competent amateur,Expert or professional,{{Q6}} requires much more skill than {{Q9}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,{{Q6}} is much more complex than {{Q9}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter much more than {{Q6}}.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,04/12/2017 01:24:13 PM,04/12/2017 01:28:29 PM,,,,,,,Saarbrücken,Germany,1995,"High school degree or equivalent (e.g., GED)",Female,zumba,,,Yoga,,,Group,Group,Beginner,Beginner,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q9}} is much more complex than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,{{Q9}} has much more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q9}} involves somewhat more of my body than {{Q6}}.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q9}} brings me into the present somewhat more than {{Q6}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q9}} is much more rewarding than {{Q6}}.,{{Q9}} has somewhat more chance of physical injury compare to {{Q6}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,04/12/2017 11:37:40 AM,04/12/2017 11:42:58 AM,,,,,,,Kent,UK,1994,Bachelor degree,Female,swimming,I go swimming to do lanes once a week. i try to do 50 lanes ,,running,moving at a fast momentum. this can be done on a treadmill or outside. it can be done for fitness or competitively and at different distances.  ,,Solo,Solo,Competent amateur,Beginner,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is somewhat more complex than {{Q6}}.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter much more than {{Q6}}.,{{ Q6 }} involves a lot more waiting than {{ Q9}}.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q6}} permits much more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,04/12/2017 05:08:19 AM,04/12/2017 06:36:55 AM,,,,,,,,,,Graduate degree,Male,"gym, jogging",,I do not feel hindered or do not have a physical disability.,hiking,,I am more than slightly hindered.,Group,Group,Competent amateur,Competent amateur,{{Q6}} requires somewhat more skill than {{Q9}}.,{{Q6}} is somewhat more predictable than {{Q9}}.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,{{Q6}} is somewhat more complex than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,Both involve my body to a roughly equal extent.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,{{Q6}} feels like less effort than {{Q9}}.,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,04/11/2017 11:55:27 AM,04/11/2017 12:00:50 PM,,,,,,,"Austin, TX",USA,1995,Some college but no degree,Female,yoga,"vinyasa, hatha, flow, ",I do not feel hindered or do not have a physical disability.,pilates ,joseph method pilates ,I do not feel hindered or do not have a physical disability.,Solo,Group,Expert or professional,Beginner,{{Q6}} requires somewhat more skill than {{Q9}}.,Both offer roughly equal predictability.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q9}} is much more complex than {{Q6}}.,Both have equally clear goals.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q9}}, I am much more concerned about others' evaluations than during {{Q6}}.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q9}} has somewhat more chance of physical injury compare to {{Q6}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,04/10/2017 07:07:57 PM,04/10/2017 07:08:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,04/10/2017 09:27:36 AM,04/10/2017 03:16:22 PM,,,,,,,"Hillsborough, NC",USA,1964,Bachelor degree,Male,Walking,I walk about a mile to and from my office every once in a while.,I do not feel hindered or do not have a physical disability.,Bicycling,"Bicycling around the countryside, usually not more than ten miles.",I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q9}} requires somewhat more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,Both admit roughly the same amount of creativity.,{{Q9}} is somewhat more complex than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,04/10/2017 03:00:26 PM,04/10/2017 03:14:24 PM,,,,,,,"Mahwah, NJ",USA,1997,Some college but no degree,Male,Track,Sprinting,I do not feel hindered or do not have a physical disability.,Basketball,american basketball,I do not feel hindered or do not have a physical disability.,Group,Group,Expert or professional,Beginner,{{Q6}} requires much more skill than {{Q9}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,Both are of roughly equal complexity.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,Both involve about the same amount of waiting.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q6}} permits much more control than {{Q9}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,04/10/2017 12:32:36 PM,04/10/2017 12:36:20 PM,,,,,,,Dublin,Ireland ,1977,Graduate degree,Male,gym traiing,Going to the gym and working out regularly ,,Tennis ,Tennis where two people hit a ball over the net to each other,,Solo,Group,Competent amateur,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is much more complex than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,{{ Q9 }} involves a lot more waiting than {{ Q6 }}.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q6}} permits much more control than {{Q9}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q9}} feels effortless compare to {{Q6}} where I have to struggle and force myself.,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,04/06/2017 02:46:58 PM,04/06/2017 02:49:39 PM,,,,,,,"Alexandria, VA",USA,1998,"High school degree or equivalent (e.g., GED)",Male,Exercise ,Soccer  Basketball  Baseball  Occasional weights   Occasional jogs,I do not feel hindered or do not have a physical disability.,Climbing,Parkour  Climbing buildings,I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,
,,04/06/2017 09:21:05 AM,04/06/2017 09:21:26 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,04/05/2017 10:07:46 PM,04/05/2017 10:08:46 PM,,,,,,,"Floyd, VA",USA,1991,Bachelor degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,04/05/2017 04:41:20 AM,04/05/2017 04:46:12 AM,,,,,,,,,1976,Graduate degree,Male,cycling,riding a bicycle in the nature,I do not feel hindered or do not have a physical disability.,bouldering,climbing indoors with friends ,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Beginner,{{Q9}} requires somewhat more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,{{Q9}} is somewhat more complex than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,Both have equally clear goals.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q9}} involves somewhat more of my body than {{Q6}}.,{{Q6}} permits somewhat more control than {{Q9}}.,{{Q9}} brings me into the present somewhat more than {{Q6}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",Both are roughly equally rewarding.,{{Q9}} has somewhat more chance of physical injury compare to {{Q6}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,04/04/2017 07:24:40 AM,04/04/2017 07:30:16 AM,,,,,,,Stuttgart,Germany,1986,Bachelor degree,Female,dancing,dancing like dancing class as jazz dance,I do not feel hindered or do not have a physical disability.,yoga,"yoga, relaxing yoga",I do not feel hindered or do not have a physical disability.,Group,Solo,Beginner,Beginner,{{Q6}} requires somewhat more skill than {{Q9}}.,{{Q9}} is somewhat more predictable than {{Q6}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q9 }} involves a lot more waiting than {{ Q6 }}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,04/03/2017 08:38:23 PM,04/03/2017 08:49:31 PM,,,,,,,St louis missouri,Usa,1993,Bachelor degree,Male,Biking,"Sometimes i mountain bike and other times i road bike. I usually go less than 10 miles. This year I'm just trying to do 5.6 miles a day and 410 vertical feet, road or mountain. ",I do not feel hindered or do not have a physical disability., Lifting weights,,I feel slightly hindered.,Solo,Solo,Competent amateur,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,{{Q9}} involves somewhat more of my body than {{Q6}}.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,04/01/2017 04:44:05 AM,04/01/2017 04:50:34 AM,,,,,,,Abu Dhabi,UAE,1981,Graduate degree,Male,Gym,Working out at the gym.,I do not feel hindered or do not have a physical disability.,HIKING,Walking in nature.,I do not feel hindered or do not have a physical disability.,Solo,,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q6}} is somewhat more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q6}} is somewhat more complex than {{Q9}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,Both involve about the same amount of waiting.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q6}} permits much more control than {{Q9}}.,{{Q6}} brings me into the present much more than {{Q9}}.,,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,03/31/2017 09:12:31 PM,03/31/2017 09:17:18 PM,,,,,,,"Los Angeles, CA",USA ,1987,Some college but no degree,Female,Hking,Mountain Hiking,I do not feel hindered or do not have a physical disability.,Dancing,Zumba Dancing,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,{{Q9}} has much more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,{{Q6}} has somewhat more clear goals than {{Q9}}.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,,{{Q9}} involves much more of my body than {{Q6}}.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q9}} feels effortless compare to {{Q6}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,03/31/2017 12:31:51 PM,03/31/2017 12:36:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
