Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""gym,"" clarify which specific activity you did at the gym. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?,"Did you read all of the instructions and questions carefully? In your honest opinion, should we use your data in our analyses?"
,,02/26/2018 04:39:48 PM,02/26/2018 04:46:41 PM,,,,,,ventura,USA,1987,Bachelor degree,Female,LA Marathon,I participated in the Los Angeles marathon in 2017. I was successfully able to run the whole marathon.,I do not feel hindered or do not have a physical disability.,Disney World Marathon,In 2018 I ran the Disney marathon which runs through all of the theme parks making up Disney World,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is somewhat more complex than {{Q5}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,02/26/2018 04:37:04 PM,02/26/2018 04:45:12 PM,,,,,,udumalpet,india,1995,Bachelor degree,Female,dance,"Ice hockey originated in Canada in the early 19th century, based on several similar sports played in Europe, although the word “hockey” comes from the old French word “hocquet”, meaning “stick”. Around 1860, a puck was substituted for a ball, and in 1879 two McGill University students, Robertson and Smith, devised the first rules.",I feel slightly hindered.,gym,"Australian rules football, officially known as Australian football,[2] or simply called Aussie rules, football or footy, is a contact sport played between two teams of eighteen players on an oval-shaped field, often a modified cricket ground. Points are scored by kicking the oval-shaped ball between the opposing goal posts (worth six points) or behind posts (worth one point). The team with the highest score at the end of the match wins unless a draw is declared.",I am more than slightly hindered.,Group,Solo,Competent amateur,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 04:31:56 PM,02/26/2018 04:35:40 PM,,,,,,"TAMILNADU,TN",INDIA,1984,Bachelor degree,Male,NN,HOCKEY ,I feel slightly hindered.,YK,SOCCER,I feel slightly hindered.,Group,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,Both admit roughly the same amount of creativity.,,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q8}} feels like less effort than {{Q5}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 04:29:57 PM,02/26/2018 04:36:55 PM,,,,,,"Martinsburg, WV",USA,1975,Graduate degree,Male,running,I ran in a half-marathon,I do not feel hindered or do not have a physical disability.,Football,I played in a flag-football league,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q5}} feels like less effort than {{Q8}}.,{{Q5}} has much higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/26/2018 04:30:37 PM,02/26/2018 04:36:04 PM,,,,,,"Marshall, MI",USA,1990,Some college but no degree,Female,biking,Competitive mountain bike races,I do not feel hindered or do not have a physical disability.,running,10K running/racing,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Beginner,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,Both involve about the same amount of waiting.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q5}} brings me into the present much more than {{Q8}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 04:30:06 PM,02/26/2018 04:35:31 PM,,,,,,"Saint Joseph, MO",USA,1988,Bachelor degree,Male,Weight Lifting,Doing power lifts and lifting for strength goals,I do not feel hindered or do not have a physical disability.,Pull ups,I trained to be able to pull my body weight up in a pull up form.,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 04:30:00 PM,02/26/2018 04:35:29 PM,,,,,,"Hilliard, OH",,1948,Bachelor degree,Male,bicycling,"Ride road bike 6 miles out and 6 miles back, mostly on trail.",I do not feel hindered or do not have a physical disability.,Situps,"Get out the padded mats, then do 73 situps. ",I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q8}} permits much more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 04:30:04 PM,02/26/2018 04:34:51 PM,,,,,,"san francisco, ca",usa,1986,Graduate degree,Male,running,I ran round the neighborhood,I do not feel hindered or do not have a physical disability.,soccer,"football to some parts of the world, soccer in America and it's soccer on a field outside, not indoor soccer",I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,{{Q5}} permits somewhat more control than {{Q8}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q8}} has much higher stakes than {{Q5}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,02/26/2018 03:14:33 PM,02/26/2018 03:17:40 PM,,,,,,"tamilnadu,tn",india,1984,Bachelor degree,Male,na,hockey ,I feel slightly hindered.,yo,football,I feel slightly hindered.,Group,Solo,Competent amateur,Expert or professional,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,Both admit roughly the same amount of creativity.,{{Q8}} is somewhat more complex than {{Q5}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,Both admit roughly equal control.,{{Q5}} brings me into the present much more than {{Q8}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,The chance of serious physical injury is roughly equal.,Yes
,,02/26/2018 02:49:07 PM,02/26/2018 02:55:54 PM,,,,,,tn,usa,1988,Associate degree,Male,yoga,i had every month i spent my time with yoga class with my guru he techs very well,I do not feel hindered or do not have a physical disability.,running ,every morning i am running around 1 km because i feel very fresh entire day,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,{{Q8}} requires somewhat more skill than {{Q5}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,,{{Q5}} is somewhat more complex than {{Q8}}.,Both have equally clear goals.,{{Q8}} has much more immediate feedback than {{Q5}}.,,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,The chance of serious physical injury is roughly equal.,Yes
,,02/26/2018 02:37:10 PM,02/26/2018 02:40:54 PM,,,,,,"Media, pa",Usa,1988,Graduate degree,Female,Boxing,I do a series of punching in kicking to train for boxing,I do not feel hindered or do not have a physical disability.,Yog,I do numerous amount of stretching and positions to strengthen my body and increase flexibility,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 02:34:13 PM,02/26/2018 02:40:16 PM,,,,,,"Austin, TX",USA,1959,Associate degree,Female,OrangeTheory HIT,"OrangeTheory is a one hour high intensity interval training class that includes cardio, strength and power movements. It has competitions like the recent ""Hell Week"" before Halloween. ",I feel slightly hindered.,Neighborhood hikes,30-minute walks after work in my hilly neighborhood when the weather permits. ,I feel slightly hindered.,Group,Solo,Beginner,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q8}} admits somewhat more creativity than {{Q5}}.,{{Q5}} is much more complex than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,Both involve about the same amount of waiting.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,
,,02/26/2018 02:20:28 PM,02/26/2018 02:24:35 PM,,,,,,"Pittsburgh, PA",USA,1979,Bachelor degree,Female,walking,"I walk on a local rails to trails trail when the weather is nice, I like to take one of my dogs along with me. Sometimes I go to a local state park and walk through the woods. ",I do not feel hindered or do not have a physical disability.,Kayaking,I have a kayak that I take to a local state park lake and I like to paddle around. ,I do not feel hindered or do not have a physical disability.,Solo,Solo,Expert or professional,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,Both offer roughly equal novelty.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is much more complex than {{Q5}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q5}} permits somewhat more control than {{Q8}}.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,The chance of serious physical injury is roughly equal.,Yes
,,02/26/2018 02:13:17 PM,02/26/2018 02:20:43 PM,,,,,,TX,USA,1998,Some college but no degree,Male,Powerlifting,lifting heavy weights at max effort ,I feel slightly hindered.,basketball,traditional basketball,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,Both are of roughly equal complexity.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,Both involve about the same amount of waiting.,{{Q5}} involves somewhat more of my body than {{Q8}}.,Both admit roughly equal control.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q5}} feels like less effort than {{Q8}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 01:52:58 PM,02/26/2018 01:56:23 PM,,,,,,TAMIL NADU,INDIA,1996,Bachelor degree,Female,READING," ""hockey""",I am more than slightly hindered.,"READING,COOKING","FOOT BALL,COOKING",I do not feel hindered or do not have a physical disability.,Solo,Solo,Expert or professional,Competent amateur,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is much more rewarding than {{Q5}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,02/26/2018 01:49:17 PM,02/26/2018 01:50:03 PM,,,,,,tamil nadu,india,1984,Bachelor degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/26/2018 01:45:40 PM,02/26/2018 01:48:18 PM,,,,,,"Richmond, VA",USA,1989,Bachelor degree,Male,Hiking,Hiking up mountains,I do not feel hindered or do not have a physical disability.,Biking,Mountain biking,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,Both are of roughly equal complexity.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q5}} feels like less effort than {{Q8}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/26/2018 01:45:43 PM,02/26/2018 01:48:39 PM,,,,,,"Balch Springs, Texas",USA,1962,"High school degree or equivalent (e.g., GED)",Female,walking,walking on a tred mill,I do not feel hindered or do not have a physical disability.,running,running on a tred mill,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Beginner,{{Q8}} requires much more skill than {{Q5}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/26/2018 01:39:31 PM,02/26/2018 01:43:24 PM,,,,,,"Minneapolis, MN",USA,1986,Bachelor degree,Male,Gym,Elliptical Machine,,Softball,,,Solo,Group,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,Both involve my body to a roughly equal extent.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q8}} brings me into the present much more than {{Q5}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,The chance of serious physical injury is roughly equal.,Yes
,,02/26/2018 01:37:06 PM,02/26/2018 01:37:40 PM,,,,,,"Omaha, NE",USA,1983,Associate degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/26/2018 01:18:44 PM,02/26/2018 01:44:21 PM,,,,,,,Estonia,1983,Bachelor degree,Male,hiking,long-distance hiking in mountain area,I do not feel hindered or do not have a physical disability.,biking,mountain biking in ,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Beginner,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,Both offer roughly equal novelty.,{{Q5}} admits somewhat more creativity than {{Q8}}.,Both are of roughly equal complexity.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,Both involve my body to a roughly equal extent.,{{Q5}} permits much more control than {{Q8}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q5}} feels like less effort than {{Q8}}.,Both have roughly equal stakes.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,02/26/2018 01:26:40 PM,02/26/2018 01:36:19 PM,,,,,,"Blackfoot, ID",USA,1956,Some college but no degree,Male,"Workout Equipment, Walking","In my home I have an eliptical, Stationary bike, Weight bench, and Treadmill.  I use each many time a week. I work out at least 40 minutes a day",I am more than slightly hindered.,I have MS and Ataxia due to a head injury.,I use an indoor track to walk on a regular basis. I try to keep the ability as much as possible,I am more than slightly hindered.,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/26/2018 01:29:59 PM,02/26/2018 01:33:41 PM,,,,,,"Buffalo,MO",United States,1994,Some college but no degree,Male,basketball,basketball,I feel slightly hindered.,soccer,soccer,I feel slightly hindered.,Group,Group,Competent amateur,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,Both offer roughly equal predictability.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter much more than {{Q5}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,No
